latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,32.0,-14400,America/New_York,GMT-4

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),rain (mm),snowfall (cm),weather_code (wmo code),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),surface_pressure (hPa)
2024-01-01T00:00,1.9,74,0.00,0.00,0.00,3,100,6.3,246,13.0,1012.2
2024-01-01T01:00,1.8,76,0.00,0.00,0.00,3,100,8.9,243,13.7,1012.3
2024-01-01T02:00,2.8,74,0.00,0.00,0.00,3,100,11.4,235,18.4,1012.3
2024-01-01T03:00,2.9,74,0.00,0.00,0.00,3,100,9.7,239,17.6,1012.4
2024-01-01T04:00,2.8,76,0.00,0.00,0.00,2,65,8.1,249,15.1,1012.2
2024-01-01T05:00,0.7,88,0.00,0.00,0.00,3,91,7.5,253,12.2,1012.0
2024-01-01T06:00,0.2,91,0.00,0.00,0.00,3,100,8.6,255,10.1,1011.7
2024-01-01T07:00,1.5,88,0.00,0.00,0.00,3,100,3.7,281,10.1,1012.0
2024-01-01T08:00,1.9,86,0.00,0.00,0.00,3,100,5.0,330,7.6,1012.2
2024-01-01T09:00,3.2,81,0.00,0.00,0.00,3,100,4.7,302,11.2,1012.8
2024-01-01T10:00,3.8,77,0.00,0.00,0.00,3,100,5.0,339,9.7,1013.2
2024-01-01T11:00,4.7,72,0.00,0.00,0.00,2,57,6.8,357,14.0,1013.5
2024-01-01T12:00,5.6,69,0.00,0.00,0.00,1,27,6.5,6,15.1,1013.1
2024-01-01T13:00,6.7,64,0.00,0.00,0.00,1,25,6.2,7,16.2,1012.4
2024-01-01T14:00,7.7,59,0.00,0.00,0.00,3,98,8.2,345,18.7,1012.2
2024-01-01T15:00,7.5,59,0.00,0.00,0.00,3,100,8.6,338,18.7,1012.3
2024-01-01T16:00,7.3,58,0.00,0.00,0.00,3,100,8.9,339,16.9,1012.4
2024-01-01T17:00,7.0,59,0.00,0.00,0.00,3,100,8.0,342,15.8,1012.6
2024-01-01T18:00,4.8,72,0.00,0.00,0.00,0,4,6.8,342,12.2,1012.8
2024-01-01T19:00,3.3,79,0.00,0.00,0.00,3,91,7.1,345,10.4,1013.1
2024-01-01T20:00,2.0,87,0.00,0.00,0.00,1,32,7.1,345,10.4,1013.5
2024-01-01T21:00,2.2,79,0.00,0.00,0.00,0,16,11.2,327,16.9,1014.3
2024-01-01T22:00,1.7,70,0.00,0.00,0.00,0,1,13.7,333,21.2,1014.7
2024-01-01T23:00,0.7,73,0.00,0.00,0.00,0,0,14.3,342,22.7,1014.9
2024-01-02T00:00,-0.3,78,0.00,0.00,0.00,0,0,13.7,346,22.7,1015.1
2024-01-02T01:00,-1.1,78,0.00,0.00,0.00,0,0,12.8,344,22.0,1015.1
2024-01-02T02:00,-1.8,79,0.00,0.00,0.00,0,0,12.4,343,20.9,1015.0
2024-01-02T03:00,-2.2,79,0.00,0.00,0.00,0,0,10.8,345,19.8,1015.3
2024-01-02T04:00,-2.8,80,0.00,0.00,0.00,0,0,9.7,345,17.3,1015.5
2024-01-02T05:00,-3.4,83,0.00,0.00,0.00,0,0,8.8,348,15.8,1015.4
2024-01-02T06:00,-3.9,87,0.00,0.00,0.00,0,0,8.4,350,14.4,1015.5
2024-01-02T07:00,-4.2,88,0.00,0.00,0.00,0,0,7.0,348,13.7,1015.8
2024-01-02T08:00,-4.6,89,0.00,0.00,0.00,0,0,6.4,344,11.5,1016.2
2024-01-02T09:00,-2.8,80,0.00,0.00,0.00,0,0,8.1,315,10.4,1016.4
2024-01-02T10:00,-0.9,67,0.00,0.00,0.00,0,0,9.0,323,16.9,1016.4
2024-01-02T11:00,0.6,61,0.00,0.00,0.00,0,0,9.6,326,20.5,1016.5
2024-01-02T12:00,2.2,59,0.00,0.00,0.00,0,0,9.2,312,20.5,1015.8
2024-01-02T13:00,3.7,54,0.00,0.00,0.00,0,0,9.9,303,21.6,1014.7
2024-01-02T14:00,4.8,50,0.00,0.00,0.00,0,0,10.8,300,22.7,1013.3
2024-01-02T15:00,5.6,48,0.00,0.00,0.00,0,0,12.0,303,23.4,1012.6
2024-01-02T16:00,5.7,47,0.00,0.00,0.00,0,0,11.8,301,23.0,1012.2
2024-01-02T17:00,4.9,53,0.00,0.00,0.00,0,0,7.7,298,20.9,1012.2
2024-01-02T18:00,1.5,69,0.00,0.00,0.00,0,0,9.6,283,12.6,1012.2
2024-01-02T19:00,0.4,76,0.00,0.00,0.00,0,0,9.7,268,12.6,1012.1
2024-01-02T20:00,0.0,79,0.00,0.00,0.00,0,0,7.6,262,12.2,1012.3
2024-01-02T21:00,-0.1,78,0.00,0.00,0.00,0,0,7.6,270,11.9,1012.6
2024-01-02T22:00,-0.6,80,0.00,0.00,0.00,0,0,8.5,282,13.3,1012.7
2024-01-02T23:00,-0.6,76,0.00,0.00,0.00,0,0,8.6,285,13.7,1012.7
2024-01-03T00:00,-1.1,77,0.00,0.00,0.00,0,0,7.8,283,13.3,1012.6
2024-01-03T01:00,-1.5,80,0.00,0.00,0.00,2,63,8.0,278,11.9,1012.4
2024-01-03T02:00,-1.6,81,0.00,0.00,0.00,0,0,8.8,279,14.0,1012.3
2024-01-03T03:00,-2.0,84,0.00,0.00,0.00,1,21,8.0,275,14.0,1012.3
2024-01-03T04:00,-2.2,85,0.00,0.00,0.00,3,89,8.0,275,12.6,1012.4
2024-01-03T05:00,-2.3,85,0.00,0.00,0.00,3,86,8.0,278,13.0,1012.2
2024-01-03T06:00,-2.2,84,0.00,0.00,0.00,3,99,8.0,280,12.6,1012.4
2024-01-03T07:00,-2.1,83,0.00,0.00,0.00,3,91,7.6,278,12.6,1012.5
2024-01-03T08:00,-1.9,82,0.00,0.00,0.00,3,89,7.7,281,12.2,1013.0
2024-01-03T09:00,-0.6,77,0.00,0.00,0.00,0,8,9.8,276,14.4,1013.8
2024-01-03T10:00,1.1,74,0.00,0.00,0.00,0,0,9.4,263,17.6,1014.2
2024-01-03T11:00,3.0,65,0.00,0.00,0.00,0,0,10.2,302,20.2,1014.1
2024-01-03T12:00,4.4,61,0.00,0.00,0.00,0,0,9.7,321,21.2,1013.4
2024-01-03T13:00,5.4,58,0.00,0.00,0.00,1,40,10.7,310,22.7,1012.5
2024-01-03T14:00,7.7,48,0.00,0.00,0.00,3,100,13.3,273,24.5,1011.7
2024-01-03T15:00,7.4,50,0.00,0.00,0.00,0,1,13.3,267,26.6,1011.0
