PULocationID,cluster_id
1,5
2,0
3,4
4,6
5,7
6,3
7,1
8,1
9,1
10,0
11,3
12,6
13,6
14,3
15,4
16,1
17,3
18,4
19,0
20,4
21,3
22,3
23,7
24,6
25,6
26,3
27,6
28,0
29,3
30,1
31,1
32,4
33,6
34,6
35,3
36,1
37,1
38,0
39,3
40,3
41,6
42,1
43,2
44,7
45,6
46,1
47,4
48,2
49,1
50,6
51,4
52,3
53,1
54,3
55,3
56,1
57,1
58,1
59,4
60,4
61,3
62,3
63,3
64,0
65,6
66,6
67,3
68,2
69,4
70,1
71,3
72,3
73,4
74,6
75,6
76,3
77,3
78,4
79,2
80,1
81,4
82,1
83,1
84,5
85,3
86,0
87,6
88,6
89,3
90,2
91,3
92,1
93,0
94,4
95,1
96,1
97,6
98,0
99,7
100,2
101,0
102,1
105,6
106,6
107,2
108,3
109,5
111,1
112,6
113,6
114,6
115,5
116,4
117,0
118,7
119,4
120,1
121,4
122,0
123,3
124,0
125,6
126,4
127,1
128,1
129,1
130,0
131,0
132,0
133,3
134,0
135,4
136,4
137,6
138,2
139,0
140,2
141,2
142,2
143,6
144,6
145,1
146,1
147,4
148,6
149,3
150,3
151,6
152,6
153,4
154,6
155,3
156,5
157,1
158,6
159,4
160,1
161,2
162,2
163,2
164,2
165,3
166,6
167,4
168,1
169,4
170,2
171,4
172,5
173,1
174,4
175,1
176,5
177,3
178,3
179,1
180,0
181,6
182,4
183,4
184,6
185,4
186,2
187,5
188,3
189,1
190,6
191,0
192,1
193,1
194,1
195,3
196,1
197,1
198,1
199,4
200,4
201,0
202,1
203,0
204,7
205,0
206,5
207,4
208,4
209,6
210,3
211,6
212,4
213,4
214,5
215,0
216,0
217,1
218,0
219,0
220,4
221,3
222,3
223,1
224,6
225,3
226,1
227,3
228,3
229,2
230,2
231,6
232,6
233,6
234,2
235,4
236,2
237,2
238,2
239,2
240,4
241,4
242,1
243,1
244,1
245,5
246,2
247,1
248,4
249,2
250,4
251,5
252,1
253,1
254,4
255,6
256,6
257,3
258,3
259,4
260,1
261,6
262,2
263,2
